restaurant_id,name,cuisine_primary,cuisine_tags,address_full,area,city,country,phone,rating_overall,rating_google,rating_tripadvisor,review_count_total,review_count_google,review_count_tripadvisor,star_5_count,star_4_count,star_3_count,star_2_count,star_1_count,star_5_percent,star_4_percent,star_3_percent,star_2_percent,star_1_percent,price_category,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,delivery_available,outdoor_seating,reservation_required,cash_only,credit_cards_accepted,wifi_available,wheelchair_accessible,takeaway_available,parking_available,live_music,pet_friendly,kids_friendly,menu_items,menu_link,website,data_source,source_url,scraped_date,last_updated
src3_347,Stephanie Cafe,Unknown,Unknown,"Byblos Main Road 1rst Floor, Byblos 00961 Lebanon",Unknown,Byblos,Lebanon,,5.0,,5.0,6,0,6,5,0,0,0,0,100.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,source3,https://www.tripadvisor.com/Restaurant_Review-g298264-d23657947-Reviews-Stephanie_Cafe-Byblos_Mount_Lebanon_Governorate.html?m=66827,2026-04-15,2026-04-15
src3_348,Stove,Unknown,Unknown,"Monot St, Beirut Lebanon",Monot St,Beirut,Lebanon,,4.2,,4.2,53,0,53,2,3,0,0,0,40.0,60.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,http://www.facebook.com/YCBeefNoodles,source3,https://www.tripadvisor.com/Restaurant_Review-g294005-d3222295-Reviews-Stove-Beirut.html?m=66827,2026-04-15,2026-04-15
src3_349,Sunsoul Resto Cafe,Unknown,Unknown,"Corniche El Mina El Istiklal Street, Tripoli Lebanon",Corniche El Mina El Istiklal Street,Tripoli,Lebanon,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,source3,https://www.tripadvisor.com/Restaurant_Review-g295422-d25237928-Reviews-Sunsoul_Resto_Cafe-Tripoli_North_Governorate.html?m=66827,2026-04-15,2026-04-15
src3_350,Sushi Bento,Unknown,Unknown,"Saida, Abra, Kharoubi Corner, Sidon 1600 Lebanon",Saida,Sidon,Lebanon,,4.7,,4.7,17,0,17,5,0,0,0,0,100.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,,,,source3,https://www.tripadvisor.com/Restaurant_Review-g445051-d8777826-Reviews-Sushi_Bento-Sidon_South_Governorate.html?m=66827,2026-04-15,2026-04-15
src3_351,Swiss Butter,Unknown,Unknown,"Bahsa, Batroun Lebanon",Bahsa,Batroun,Lebanon,,4.3,,4.3,14,0,14,3,1,0,0,1,60.0,20.0,0.0,0.0,20.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,https://swissbutter.com/,source3,https://www.tripadvisor.com/Restaurant_Review-g1943861-d25566974-Reviews-Swiss_Butter-Batroun_North_Governorate.html?m=66827,2026-04-15,2026-04-15
src3_352,Taiga Cafe,Unknown,Unknown,Batroun Lebanon,Unknown,Batroun,Lebanon,,4.0,,4.0,8,0,8,4,0,0,0,1,80.0,0.0,0.0,0.0,20.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,TRUE,,,https://www.facebook.com/TaigaCafe/?rf=162195190508831,source3,https://www.tripadvisor.com/Restaurant_Review-g1943861-d10474551-Reviews-Taiga_Cafe-Batroun_North_Governorate.html?m=66827,2026-04-15,2026-04-15
src3_353,Tappo,Unknown,Unknown,"Gemayze Rue Pasteur, Beirut 0000 Lebanon",Gemayze Rue Pasteur,Beirut,Lebanon,,5.0,,5.0,20,0,20,5,0,0,0,0,100.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,source3,https://www.tripadvisor.com/Restaurant_Review-g294005-d26684068-Reviews-Tappo-Beirut.html?m=66827,2026-04-15,2026-04-15
src3_354,Tartina Di Mare,Unknown,Unknown,"Sarba , Versaille Street , Next to Versaille Center petite rue accessible depuis la decente de sarba pres de cave a vin et magasin Nada, Jounieh 1200 Lebanon",Sarba,Jounieh,Lebanon,,4.9,,4.9,32,0,32,2,3,0,0,0,40.0,60.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,,,http://www.tartinadimare.com,source3,https://www.tripadvisor.com/Restaurant_Review-g298267-d10727309-Reviews-Tartina_Di_Mare-Jounieh_Mount_Lebanon_Governorate.html?m=66827,2026-04-15,2026-04-15
src3_355,Tartufo- passion kitchen,Unknown,Unknown,"Shehadeh Street, Beirut Lebanon",Shehadeh Street,Beirut,Lebanon,,4.0,,4.0,1,0,1,0,1,0,0,0,0.0,100.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,source3,https://www.tripadvisor.com/Restaurant_Review-g294005-d2017893-Reviews-Tartufo_passion_kitchen-Beirut.html?m=66827,2026-04-15,2026-04-15
src3_356,Tavolino Pub,Unknown,Unknown,"Al Fanar Street, Tyre 1107 Lebanon",Al Fanar Street,Tyre,Lebanon,,4.8,,4.8,45,0,45,4,6,0,0,0,40.0,60.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,,,http://www.facebook.com/tavolinoz,source3,https://www.tripadvisor.com/Restaurant_Review-g7892679-d10020202-Reviews-Tavolino_Pub-Tyre_South_Governorate.html?m=66827,2026-04-15,2026-04-15
