city,location_id,address,restaurant_name,website,tripadvisor_url,rating,num_reviews,review_title,review_text,review_rating
Beirut Lebanon,17449469,"Choucri Ghanem Street, Ain Mreisse, Beirut District, Beirut Lebanon",Zuruni Cafe Beirut,,https://www.tripadvisor.com/Restaurant_Review-g294005-d17449469-Reviews-Zuruni_Cafe_Beirut-Beirut.html?m=66827,4,2,Review,"A very good restaurant. The food is absolutely delicious, delightful and fresh , the staff is highly professional and friendly and the ambience is nice as well.  The service is prompt and punctual and the hygiene is optimal too.",4
Beirut Lebanon,5262210,"Damascus Road Ras El-Nabeh, Beirut Lebanon",The Original Falafel M Sahyoun,http://falafelsahyoun.com/,https://www.tripadvisor.com/Restaurant_Review-g294005-d5262210-Reviews-The_Original_Falafel_M_Sahyoun-Beirut.html?m=66827,4.7,52,Would fly the world for this !,I would travel the world for THIS falafel!! And I’m not even a fan of falafel! Totally converted. Yum!! So good. And so clean!,5
Beirut Lebanon,5262210,"Damascus Road Ras El-Nabeh, Beirut Lebanon",The Original Falafel M Sahyoun,http://falafelsahyoun.com/,https://www.tripadvisor.com/Restaurant_Review-g294005-d5262210-Reviews-The_Original_Falafel_M_Sahyoun-Beirut.html?m=66827,4.7,52,Live the falafel - go there,One of the best falafel sandwich I tried - marvelous and mouth watering - must try if you come to Beirut. Do not miss it please,5
Beirut Lebanon,5262210,"Damascus Road Ras El-Nabeh, Beirut Lebanon",The Original Falafel M Sahyoun,http://falafelsahyoun.com/,https://www.tripadvisor.com/Restaurant_Review-g294005-d5262210-Reviews-The_Original_Falafel_M_Sahyoun-Beirut.html?m=66827,4.7,52,Top 2 in Beirut,"Loved the portion size, not huge, but manageable.  Enjoyed the yogurt drink (ayran) and the calmness of the late the lunch, since there were no crowds.  The staff also helped me get a reasonable local van taxi, after noticing how we were swindled by the taxi driver that brought us there.  They were shocked how much we paid for the local taxi.  To be fair, it was my first full day, and the jet-lag and confusion about the currency, made it easy to be cheated.  One is cheated and learns a lesson to hopefully not be repeated :)",5
Beirut Lebanon,5262210,"Damascus Road Ras El-Nabeh, Beirut Lebanon",The Original Falafel M Sahyoun,http://falafelsahyoun.com/,https://www.tripadvisor.com/Restaurant_Review-g294005-d5262210-Reviews-The_Original_Falafel_M_Sahyoun-Beirut.html?m=66827,4.7,52,Great Falafel ,Our tour guide said they made the best falafel in Beirut and possibly the world.  No arguments from me.  ,5
Beirut Lebanon,5262210,"Damascus Road Ras El-Nabeh, Beirut Lebanon",The Original Falafel M Sahyoun,http://falafelsahyoun.com/,https://www.tripadvisor.com/Restaurant_Review-g294005-d5262210-Reviews-The_Original_Falafel_M_Sahyoun-Beirut.html?m=66827,4.7,52,Delicious falafel in downtown Beirut,"Great spot for a takeaway falafel (the shop has literally 2 chairs inside, so there is not too much of a space to sit).

The owner and the staff were polite and welcoming, they spoke English and the falafel sandwiches we got were absolutely delicious. Highly recommended!",4
Beirut Lebanon,8482337,"Clemenceau, Beirut Lebanon",Jars & Co,http://www.jarsandco.delivery,https://www.tripadvisor.com/Restaurant_Review-g294005-d8482337-Reviews-Jars_Co-Beirut.html?m=66827,3.3,3,Lunch at jars & Co,"Such a nice discovery the Jars and Co in Monot street Beirut.
I had lunch there with my colleagues and I loved the idea of salads and deserts in mini jars.
The hot meals ( my favorite between what i have eaten were the noodles but i would have preferred to have more meat in them. And more dressing on the side.
Regarding the deserts thumbs up for the cheese cake and fruit salad! Picture below!
The ladies owning/serving are just adorable and smiling!",3
Beirut Lebanon,8482337,"Clemenceau, Beirut Lebanon",Jars & Co,http://www.jarsandco.delivery,https://www.tripadvisor.com/Restaurant_Review-g294005-d8482337-Reviews-Jars_Co-Beirut.html?m=66827,3.3,3,Delivery order,"I loved the idea, it is new and the jars can be re used or recycled which is very practical. I have ordered a delivery of salads in a jar and they tasted quite well. The only problem I faced is that the delivery took so much time to arrive (an hour). I am curious to try other things and to eat in sometimes.",3
Beirut Lebanon,8482337,"Clemenceau, Beirut Lebanon",Jars & Co,http://www.jarsandco.delivery,https://www.tripadvisor.com/Restaurant_Review-g294005-d8482337-Reviews-Jars_Co-Beirut.html?m=66827,3.3,3,A must try,"Such a lovely discovery which I made!! I was looking for a place to order lunch and I noted the Jars & Co. The menu was interesting and the concept was new. I decided to give it a try. The place's name describes what they do... food in jars. Cute and lovely. I called them and I was received by a very nice and lovely voice that giggled politely to my jokes and took my order. I went for a healthy salad ""HAPPY"". The name was happy and thats how I felt after eating it. Loved it!! and I do recommend you try it. ",4
Beirut Lebanon,33971626,"Roucheid El Dahdah, Beirut Lebanon",Naranj Cafe,https://naranjcafe.com,https://www.tripadvisor.com/Restaurant_Review-g294005-d33971626-Reviews-Naranj_Cafe-Beirut.html?m=66827,5,1,Truly exceptional experience!,"As soon as we stepped inside, the atmosphere was welcoming, and beautifully designed and set the tone to a memorable meal.
The perfect balance between cozy and elegant. The lighting, music, and decor all contributed to a relaxed, enjoyable environment that made us feel right at home.

The food was equally impressive. Every dish was fresh, flavorful, and perfectly cooked. You can really taste the care and quality in each bite. The quinoa and  shrimp was a standout, rich, and beautifully presented and the hummos with herbs was also very delicious.
In the other side, it was my first time tasting the fattet fawaregh, and I was honestly blown away. From the very first bite, the flavors were rich, perfectly balanced, and unexpectedly satisfying. The texture, the seasoning, the aroma, everything came together in the best way. I didn’t expect to love it this much, but it quickly became a new favorite. It was one of those meals you remember long after the last bite.

The staff were friendly and attentive without being intrusive. Overall, a fantastic dining experience. Highly recommended for anyone who appreciates great food in a great setting!",5
